chapter_no,chapter_name,section_no,section_name,excerise,problem_no,question
,,,,,5EA,"(Erlang’s Loss System) Each operator at the customer service department of an airline can serve only one call. There are c operators, and the incoming calls form a Poisson process with rate ?. The time it takes to serve a customer is exponential with mean 1/?, independent of other customers and the arrival process. If all operators are busy serving other customers, the additional incoming calls are rejected. They do not return and are called lost calls. (a) In the long-run, what proportion of calls are lost? (b) Suppose that ? = ?. How many operators should the airline hire so that the probability that a call is lost is at most 0.004?"
,,,,,6EA,"In Example 12.41, is the continuous-time Markov chain X(t): t ? 0 a birth and death process?"
,,,,,7EA,"Consider an M/M/1 queuing system in which customers arrive according to a Poisson process with rate ?, and service times are exponential with mean 1/?. We know that, in the long run, such a system will not be stable. For i ? 0, suppose that at a certain time there are i customers in the system. For j>i, find the expected length of time until the system has j customers."
,,,,,8EA,"There are m machines in a factory operating independently. The factory has k (k < m) repairpersons, and each repairperson repairs one machine at a time. Suppose that (i) each machine works for a time period that is exponentially distributed with mean 1/?, then it breaks down; (ii) the time that it takes to repair an out-of-order machine is exponential with mean 1/?, independent of repair times for other machines; and (iii) at times when all repair persons are busy repairing machines, the newly broken down machines will wait for repair. Let X(t) be the number of machines operating at time t. Show that X(t): t ? 0 is a birth and death process and find the birth and death rates."
,,,,,9EA,"In Springfield, Massachusetts, people drive their cars to a state inspection center for annual safety and emission certification at a Poisson rate of ?. For n ? 1, if there are n cars at the center either being inspected or waiting to be inspected, the probability is 1 ? ?n that an additional driver will not join the queue and will leave. A driver who joins the queue has a patience time that is exponentially distributed with mean 1/?. That is, if the car’s inspection turn does not occur within the patience time, the driver will leave. Suppose that cars are inspected one at a time, inspection times are independent and identically distributed exponential random variables with mean 1/?, and they are independent of the arrival process and patience times. Let X(t) be the number of cars being or waiting to be inspected at t. Find the birth and death rates of the birth and death process X(t): t ? 0 ."
,,,,,10EA,"(Birth and Death with Immigration) Consider a population of a certain colonizing species. Suppose that each individual produces offspring at a Poisson rate ? as long as it lives. Moreover, suppose that new individuals immigrate into the population at a Poisson rate of ?. If the lifetime of an individual in the population is exponential with mean 1/?, starting with no individuals, find the expected length of time until the population size is 3."
,,,,,11EA,"Consider a pure death process with ?n = ?, n > 0. For i, j ? 0, find pij (t)."
,,,,,12EA,"Johnson Medical Associates has two physicians on call practicing independently. Each physician is available to answer patients’ calls for independent time periods that are exponentially distributed with mean 1/?. Between those periods, the physician takes breaks for independent exponential amounts of time each with mean 1/?. Suppose that the periods a physician is available to answer the calls are independent of the periods the physician is on breaks. Let X(t) be the number of physicians on break at time t. Show that X(t): t ? 0 can be modeled as a birth and death process. Then write down the list of all the Kolmogorov backward equations."
,,,,,13EA,"Recall that an M/M/c queueing system is a GI/G/c system in which there are c servers, customers arrive according to a Poisson process with rate ?, and service times are exponential with mean 1/?. Suppose that ? = ?/(c?) < 1; hence the queueing system is stable. Find the long-run probability that there are no customers in the system."
,,,,Exercise B,1EB,"Let N(t): t ? 0 be a Poisson process with rate ?. By Example 12.38, the process N(t): t ? 0 is a continuous-time Markov chain. Hence it satisfies equations (12.12), the Chapman-Kolmogorov equations. Verify this fact by direct calculations."
,,,,,2EB,"(The Yule Process) A cosmic particle entering the earth’s atmosphere collides with air particles and transfers kinetic energy to them. These in turn collide with other particles transferring energy to them and so on. A shower of particles results. Suppose that the time that it takes for each particle to collide with another particle is exponential with parameter ?. Find the probability that t units of time after the cosmic particle enters the earth’s atmosphere, there are n particles in the shower it causes"
,,,,,3EB,"(Tandem or Sequential Queueing System) In a computer store, customers arrive at a cashier desk at a Poisson rate of ? to pay for the goods they want to purchase. If the cashier is busy, then they wait in line until their turn on a first-come, first-served basis. The time it takes for the cashier to serve a customer is exponential with mean 1/?1, independent of the arrival process. After being served by the cashier, customers join a second queue and wait until their turn to receive the goods they have purchased. When a customer’s turn begins, it take an exponential period with mean 1/?2 to be served, independent of the service times of other customers and service times and arrival times at the cashier’s desk. Clearly, the first station, cashier’s desk, is an M/M/1 queueing system. The departure process of the first station forms an arrival process for the second station, delivery desk. Show that the second station is also an M/M/1 queueing system and is independent of the queueing system at the first station. Hint: For i ? 0, j ? 0, by the state (i, j) we mean that there are i customers in the first queueing system and j customers in the second one. Let ?(i,j) be the long-run probability that there are i customers at the cashier’s desk and j customers at the delivery desk. Write down the set of balance equations for the entire process and
show that
?(i,j) =
  ?
?1
 i 
1 ? ?
?1
   ?
?2
 j 
1 ? ?
?2
 
, i, j ? 0,
satisfy the balance equations. If this is shown, by Example 12.43, we have shown
that ?(i,j) is the product of the long-run probabilities that the first queueing system is
M/M/1 and has i customers, and the second queueing system is M/M/1 and has j
customers"
,,,,,4EB,"(Birth and Death with Disaster) Consider a population of a certain colonizing species. Suppose that each individual produces offspring at a Poisson rate of ? as long as it lives. Furthermore, suppose that the natural lifetime of an individual in the population is exponential with mean 1/? and, regardless of the population size, individuals die at a Poisson rate of ? because of disasters occurring independently of natural deaths and births. Let X(t) be the population size at time t. If X(0) = n (n > 0), find E X(t)  . Hint: Using (12.5), calculate E X(t + h) | X(t) = m for an infinitesimal h. Then find E X(t + h)  = E  E X(t + h) | X(t)  . Letting h ? 0 in E  X(t + h)  ? E  X(t)  h , show that E  X(t)  satisfies a firstorder linear differential equation. Solve that equation"
,,,,,5EB,"Let X(t): t ? 0 be a birth and death process with birth rates ?n ? n=0 and death rates ?n ? n=1. Show that if ? k=1 ?1?2 ···?k ?1?2 ···?k = ?, then, with probability 1, eventually extinction will occur."
,,12.5,Brownian Motion,Exercise A,1EA,"Suppose that liquid in a container is placed in a coordinate system, and at time 0, a pollen particle suspended in the liquid is at (0, 0, 0), the origin. Let Z(t) be the zcoordinate of the position of the pollen after t minutes. Suppose that Z(t): t ? 0 is a Brownian motion with variance parameter 9. Suppose that after 5 minutes the z-coordinate of the pollen’s position is 0 again. (a) What is the probability that after 10 minutes it is between ?1/2 and 1/2? (b) If after seven minutes the z-coordinate of the pollen’s position is ?1, find the expected value and variance of the z-coordinate of the position of pollen after six minutes"
,,,,,2EA,"Let X(t): t ? 0 be a Brownian motion with variance parameter ?2. Show that, for all t > 0, |X(t)| and max 0?s?t X(s) are identically distributed."
,,,,,3EA,"Let X(t): t ? 0 be a Brownian motion with variance parameter ?2. For ? > 0, show that lim t?0 P |X(t)| t > ? = 1, whereas lim t?? P |X(t)| t > ? = 0."
,,,,,4EA,"Let X(t): t ? 0 be a Brownian motion with variance parameter ?2. Let T? be the time of hitting ? first. Let Y ? N(0, ?2/?2). Show that, for ? > 0, T? and 1/Y 2 are identically distributed."
,,,,,5EA,"Let X(t): t ? 0 be a Brownian motion with variance parameter ?2. For a fixed t > 0, let T be the smallest zero greater than t. Find the probability distribution function of T"
,,,,,6EA,"Let X(t): t ? 0 be a Brownian motion with variance parameter ?2. As we know, for t1 and t2, t1 < t2, the random variables X(t1) and X(t2) are not independent. Find the distribution of X(t1) + X(t2)."
,,,,,7EA,"Let X(t): t ? 0 be a Brownian motion with variance parameter ?2. For u > 0, show that E X(t + u) | X(t)  = X(t). Therefore, for s>t, E X(s) | X(t)  = X(t)"
,,,,,8EA,"Let X(t): t ? 0 be a Brownian motion with variance parameter ?2. For u > 0, t ? 0, find E  X(t)X(t + u)  ."
,,,,,9EA,"(Reflected Brownian Motion) Suppose that liquid in a cubic container is placed in a coordinate system in such a way that the bottom of the container is placed on the xy-plane. Therefore, whenever a particle reaches the xy-plane, it cannot cross the bottom of the container. So it reverberates back to the nonnegative side of the z-axis. Suppose that at time 0, a particle is at (0, 0, 0), the origin. Let V (t) be the z-coordinate of the particle after t units of time. Find E V (t)  , Var V (t)  , and P  V (t) ? z | V (0) = z0  . Hint: Let Z(t): t ? 0 be a Brownian motion with variance parameter ?2. Note that V (t) =  Z(t) if Z(t) ? 0 ?Z(t) if Z(t) < 0. The process V (t): t ? 0 is called reflected Brownian motion."
